url_path,views_total,views_unique
/google/triggerator,18,14
/google/triggerator/edit/main/frontend/src/app/event-list.component.ts,4,1
/google/triggerator/pulls,4,1
/google/triggerator/pull/18,3,1
/google/triggerator/pull/19,3,1
/google/triggerator/blob/49236ef11b222c0994a13b09201fc1edfed700cd/frontend/src/app/app-editor.component.html,2,1
/google/triggerator/blob/49236ef11b222c0994a13b09201fc1edfed700cd/frontend/src/app/event-list.component.ts,2,1
/google/triggerator/blob/49236ef11b222c0994a13b09201fc1edfed700cd/frontend/src/app/settings.component.html,2,1
/google/triggerator/blob/main/CHANGELOG.md,2,1
/google/triggerator/blob/main/frontend/src/app/app-editor.component.html,2,1
