url_path,views_total,views_unique
/google/triggerator,19,11
/google/triggerator/tree/main/backend,14,3
/google/triggerator/tree/main,10,2
/google/triggerator/blob/main/scripts/create-spreadsheet.py,5,3
/google/triggerator/blob/main/scripts/setup.sh,5,3
/google/triggerator/blob/main/backend/app.yaml.copy,4,2
/google/triggerator/tree/main/frontend,3,2
/google/triggerator/blob/49236ef11b222c0994a13b09201fc1edfed700cd/frontend/README.md,3,1
/google/triggerator/blob/49236ef11b222c0994a13b09201fc1edfed700cd/README.md,3,1
/google/triggerator/blob/main/scripts/update.sh,2,2
