time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-16 00:00:00+00:00,7,4,0,0
2026-05-17 00:00:00+00:00,2,1,0,0
2026-05-18 00:00:00+00:00,4,4,0,0
2026-05-19 00:00:00+00:00,4,3,0,0
2026-05-20 00:00:00+00:00,2,2,0,0
2026-05-21 00:00:00+00:00,7,5,1,1
2026-05-22 00:00:00+00:00,8,2,0,0
2026-05-23 00:00:00+00:00,6,5,1,1
2026-05-24 00:00:00+00:00,6,3,3,2
2026-05-25 00:00:00+00:00,16,10,0,0
2026-05-26 00:00:00+00:00,80,32,0,0
2026-05-27 00:00:00+00:00,64,31,1,1
2026-05-28 00:00:00+00:00,30,16,0,0
2026-05-29 00:00:00+00:00,6,6,0,0
