url_path,views_total,views_unique
/google/triggerator,16,7
/google/triggerator/commit/0bd3a20599b56368d8f7136a9afb4c462eab320d,3,1
/google/triggerator/labels,3,1
/google/triggerator/search,2,1
/google/triggerator/blame/87f13669dc6250667ede0f1fdeba3a8475b87892/scripts/create-spreadsheet.py,1,1
/google/triggerator/blob/0bd3a20599b56368d8f7136a9afb4c462eab320d/.gitignore,1,1
/google/triggerator/blob/87f13669dc6250667ede0f1fdeba3a8475b87892/scripts/create-spreadsheet.py,1,1
/google/triggerator/blob/main/backend/.gcloudignore,1,1
/google/triggerator/blob/main/README.md,1,1
/google/triggerator/blob/main/.vscode/launch.json,1,1
