url_path,views_total,views_unique
/google/triggerator,41,24
/google/triggerator/commits/main,13,5
/google/triggerator/commit/9a5fad0d6594d9841d7af2e2601fe4dab63f1a9c,9,4
/google/triggerator/commit/c466979e29ead2fa42c0e33b86459b433a9c978a,4,3
/google/triggerator/tree/main/backend,4,3
/google/triggerator/blob/main/backend/src/app/dv360-facade.ts,4,2
/google/triggerator/commits/9a5fad0d6594d9841d7af2e2601fe4dab63f1a9c,4,1
/google/triggerator/blob/main/README.md,2,2
/google/triggerator/commit/49236ef11b222c0994a13b09201fc1edfed700cd,2,2
/google/triggerator/commit/b1df29a7b1023e44d308252d20f83470995a3602,2,2
