time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-30 00:00:00+00:00,8,4,6,1
2026-07-01 00:00:00+00:00,6,6,3,1
2026-07-02 00:00:00+00:00,9,3,0,0
2026-07-03 00:00:00+00:00,21,5,1,1
2026-07-04 00:00:00+00:00,20,3,0,0
2026-07-05 00:00:00+00:00,4,4,0,0
2026-07-06 00:00:00+00:00,15,4,0,0
2026-07-07 00:00:00+00:00,10,4,0,0
2026-07-08 00:00:00+00:00,4,4,0,0
2026-07-09 00:00:00+00:00,12,7,0,0
2026-07-10 00:00:00+00:00,9,4,0,0
2026-07-11 00:00:00+00:00,5,5,0,0
2026-07-12 00:00:00+00:00,10,4,1,1
2026-07-13 00:00:00+00:00,4,3,1,1
