url_path,views_total,views_unique
/google/triggerator,13,9
/google/triggerator/tree/main/backend,9,2
/google/triggerator/blob/49236ef11b222c0994a13b09201fc1edfed700cd/scripts/setup.sh,8,3
/google/triggerator/tree/main,7,1
/google/triggerator/blob/main/scripts/setup.sh,4,2
/google/triggerator/blob/main/scripts/create-spreadsheet.py,3,2
/google/triggerator/blob/49236ef11b222c0994a13b09201fc1edfed700cd/frontend/README.md,3,1
/google/triggerator/blob/49236ef11b222c0994a13b09201fc1edfed700cd/README.md,3,1
/google/triggerator/blob/main/backend/app.yaml.copy,2,1
/google/triggerator/tree/main/scripts,2,1
