url_path,views_total,views_unique
/google/triggerator,21,14
/google/triggerator/tree/main/scripts,7,2
/google/triggerator/tree/main/backend/src,3,1
/google/triggerator/tree/main/backend/src/test,2,1
/google/triggerator/blob/ba3b03246ffef3216e2a9ade6a5d9bf611e66ef2/backend/src/test/config-service.tests.ts,1,1
/google/triggerator/blob/main/backend/src/test/feed-service.tests.ts,1,1
/google/triggerator/blob/main/backend/src/test/weather.csv,1,1
/google/triggerator/blob/main/scripts/build-n-deploy.sh,1,1
/google/triggerator/blob/main/scripts/build.sh,1,1
/google/triggerator/blob/main/scripts/create-spreadsheet.py,1,1
