url_path,views_total,views_unique
/google/triggerator,12,11
/google/triggerator/pull/17,12,4
/google/triggerator/pulls,7,2
/google/triggerator/pull/19,4,3
/google/triggerator/blob/49236ef11b222c0994a13b09201fc1edfed700cd/backend/src/app/auth.ts,4,1
/google/triggerator/pull/18,3,3
/google/triggerator/pull/17/files,2,2
/google/triggerator/blob/49236ef11b222c0994a13b09201fc1edfed700cd/backend/src/app.ts,2,1
/google/triggerator/commits,2,1
/google/triggerator/pull/17/commits/e39d533299d3ca6f06afc703776e127f68d0e666,2,1
