url_path,views_total,views_unique
/google/triggerator,11,10
/google/triggerator/blob/main/CHANGELOG.md,5,2
/google/triggerator/blob/main/README.md,4,2
/google/triggerator/tree/main/backend,4,1
/google/triggerator/tree/main/scripts,3,1
/google/triggerator/blob/253cbf1fdd6e4bff0be2c87604c48cbf704fc103/backend/package.json,2,1
/google/triggerator/blob/253cbf1fdd6e4bff0be2c87604c48cbf704fc103/frontend/package.json,2,1
/google/triggerator/blob/253cbf1fdd6e4bff0be2c87604c48cbf704fc103/frontend/package-lock.json,2,1
/google/triggerator/blob/69b27d9137bcce22b65f1caf9bbd6ff355ac9dd4/CHANGELOG.md,2,1
/google/triggerator/commits/main/CHANGELOG.md,2,1
